idade;renda_mensal;anos_no_emprego;divida_atual;regiao;credito_aprovado
32;2319,12;22;2054,6;Sudeste;nao
54;3768,91;17;2604,9;Nordeste;nao
25;5124,36;2;1623,44;Centro-Oeste;nao
31;3054,69;26;741,41;Norte;sim
36;1750,77;23;259,16;Nordeste;sim
36;4293,98;4;656,0;Nordeste;sim
65;4717,7;20;3727,99;Sul;nao
60;6054,05;9;5091,81;Sul;nao
65;3315,69;18;776,85;Nordeste;sim
69;4435,68;22;521,91;Centro-Oeste;sim
24;6406,05;0;3123,61;Sul;nao
27;2986,32;3;2547,54;Nordeste;nao
63;4600,46;3;474,05;Sul;sim
24;4125,86;24;1797,11;Sul;sim
29;2179,98;20;366,58;Centro-Oeste;sim
29;4565,8;11;3058,73;Sudeste;nao
65;6796,58;14;2093,21;Sudeste;sim
38;8815,59;9;2047,09;Sul;sim
33;2177,27;29;584,38;Sul;sim
29;6455,29;6;4939,14;Nordeste;nao
43;6785,02;3;2797,82;Nordeste;sim
49;6971,39;0;4880,91;Norte;nao
60;3998,87;16;1445,94;Sudeste;sim
51;5351,08;24;2005,45;Sul;sim
69;3684,68;5;3038,52;Nordeste;nao
26;5793,95;27;3064,05;Sul;sim
44;6942,46;16;390,04;Sudeste;sim
48;4338,95;16;1418,41;Sudeste;sim
54;5183,59;7;1073,62;Centro-Oeste;sim
21;6332,2;21;5200,75;Sul;nao
30;6076,86;8;887,67;Sudeste;sim
43;3594,54;24;323,01;Sul;sim
24;7252,2;26;4289,61;Sul;nao
68;5658,12;5;3065,66;Centro-Oeste;sim
52;5063,88;0;1004,33;Nordeste;sim
60;4859,06;15;4206,25;Norte;nao
46;6044,69;9;5037,65;Sul;nao
50;6640,54;13;3088,95;Nordeste;sim
37;2506,73;21;916,61;Norte;nao
36;3227,93;7;636,61;Sul;sim
27;1687,06;28;946,83;Centro-Oeste;sim
31;5591,68;5;1789,05;Sul;sim
58;5488,17;2;3920,1;Sudeste;nao
42;4166,85;20;653,2;Sudeste;sim
61;2822,2;14;1779,68;Norte;sim
34;7153,68;18;6085,92;Sul;nao
56;7677,1;7;6488,98;Sudeste;nao
63;7639,19;24;6206,31;Norte;nao
61;4887,76;29;408,59;Norte;sim
31;5050,97;26;353,8;Centro-Oeste;sim
39;5046,9;21;4030,67;Sul;nao
34;4555,16;3;414,42;Sudeste;sim
60;2588,93;13;2164,23;Sul;nao
60;3707,95;29;1236,58;Sul;sim
42;6267,49;18;1770,89;Sudeste;sim
34;4794,56;24;1174,78;Norte;sim
24;3941,79;7;1563,84;Nordeste;nao
34;4346,44;18;3369,43;Sudeste;sim
28;7949,09;16;2066,47;Centro-Oeste;sim
24;7476,49;1;4186,83;Sul;nao
59;6783,79;18;2305,5;Sudeste;sim
43;5117,69;23;4276,06;Nordeste;nao
68;2621,8;12;1980,54;Norte;sim
33;5149,31;7;2676,94;Centro-Oeste;nao
39;4219,32;11;1259,54;Norte;sim
64;5915,27;26;2953,2;Nordeste;sim
51;6642,18;3;4078,85;Nordeste;nao
35;3571,55;20;339,71;Sudeste;sim
39;7172,82;29;6316,79;Nordeste;nao
58;4904,15;12;695,41;Nordeste;sim
38;4961,96;16;586,31;Norte;sim
44;3795,13;0;2915,17;Centro-Oeste;nao
44;4465,11;25;792,69;Norte;sim
43;4968,28;17;3206,1;Nordeste;nao
44;4440,52;24;2984,42;Nordeste;nao
68;4229,88;21;2622,99;Centro-Oeste;sim
32;4090,27;21;2492,72;Sudeste;nao
65;8467,7;26;4627,84;Nordeste;sim
30;4430,05;17;1551,34;Norte;nao
24;6160,42;1;2455,15;Centro-Oeste;nao
36;4939,34;24;3464,86;Centro-Oeste;nao
33;1200,0;18;443,91;Centro-Oeste;nao
52;10418,87;22;1423,98;Centro-Oeste;sim
30;4802,57;3;3734,53;Nordeste;nao
31;3807,08;14;3257,98;Centro-Oeste;nao
65;7167,33;25;2954,93;Centro-Oeste;sim
60;7472,5;0;2462,97;Sudeste;sim
48;3773,5;5;2851,72;Sudeste;nao
65;3302,33;3;369,19;Norte;sim
39;3204,32;15;1829,03;Sudeste;sim
24;5429,7;14;3113,58;Nordeste;nao
61;5093,87;20;2394,69;Nordeste;sim
25;6211,3;0;4134,84;Sudeste;nao
38;4595,03;4;1082,04;Sudeste;sim
43;3877,52;17;3453,59;Centro-Oeste;nao
54;5014,6;24;1438,2;Sul;sim
27;3771,48;10;552,19;Sul;sim
32;5988,0;5;3551,13;Norte;nao
25;5550,34;15;3267,56;Norte;nao
22;5801,06;11;3490,49;Sudeste;nao
29;5614,16;9;4539,87;Sudeste;nao
55;4045,29;0;895,24;Nordeste;sim
47;1698,47;7;939,07;Norte;nao
37;7081,0;8;5124,24;Centro-Oeste;nao
54;6752,83;26;2281,46;Sudeste;sim
37;3461,34;19;3075,15;Centro-Oeste;nao
69;6418,59;13;5440,42;Norte;nao
34;5079,21;23;271,19;Nordeste;sim
54;4668,0;13;4019,4;Sudeste;nao
33;4788,14;20;2439,02;Sudeste;sim
48;3304,58;15;281,78;Nordeste;sim
48;4564,43;15;3907,76;Centro-Oeste;nao
65;4893,78;22;1746,88;Nordeste;sim
37;5165,46;15;3131,75;Centro-Oeste;nao
26;3672,73;6;550,25;Sudeste;sim
41;5489,15;4;4922,03;Nordeste;nao
50;3751,31;11;1995,6;Norte;nao
30;3891,57;22;3119,59;Sul;nao
69;4942,7;1;279,43;Centro-Oeste;sim
45;3966,12;7;3150,11;Centro-Oeste;nao
45;2938,59;26;1479,55;Norte;sim
49;3845,66;16;1760,34;Norte;sim
48;3534,37;24;1261,04;Nordeste;sim
41;5027,38;8;4340,53;Sudeste;nao
48;6009,34;22;2700,21;Sul;sim
40;5844,51;20;5142,14;Centro-Oeste;nao
69;3582,97;17;1681,86;Norte;sim
67;4145,07;2;2473,88;Centro-Oeste;nao
47;5270,26;16;3800,57;Sudeste;sim
23;1871,53;11;1385,1;Centro-Oeste;nao
37;6327,01;27;3984,91;Norte;sim
36;6982,58;1;2199,87;Sudeste;sim
53;6027,97;21;4034,56;Sul;sim
46;1200,0;6;315,4;Sudeste;nao
27;5262,79;7;2024,0;Norte;sim
50;1446,45;8;437,07;Centro-Oeste;nao
21;6446,42;29;5238,92;Sul;nao
23;1200,0;19;934,97;Sul;nao
21;2224,14;12;824,59;Sul;nao
32;5422,98;3;4505,08;Norte;nao
66;2203,05;7;1149,76;Sudeste;sim
23;1200,0;27;602,13;Centro-Oeste;sim
50;2814,39;23;302,65;Sul;sim
21;5566,44;14;2347,46;Norte;sim
23;2636,51;29;1841,77;Norte;nao
36;2790,58;25;2199,35;Norte;nao
29;5082,01;18;807,51;Norte;sim
40;4763,81;26;3267,01;Norte;sim
23;7008,44;15;5622,58;Norte;nao
63;6310,77;10;4722,25;Sudeste;nao
43;4159,86;21;334,73;Sudeste;sim
21;3485,15;2;1983,43;Sul;nao
21;6708,44;28;1815,62;Centro-Oeste;sim
56;3541,43;9;2110,58;Sudeste;nao
38;2789,45;18;1786,48;Sul;sim
43;5606,71;2;1425,97;Centro-Oeste;sim
54;3676,04;19;204,69;Sul;sim
49;1968,62;28;1264,7;Norte;sim
54;5879,53;24;4320,65;Sul;sim
28;6398,07;22;457,63;Centro-Oeste;sim
58;2603,64;22;1198,94;Sudeste;sim
60;4109,25;23;1139,42;Sul;sim
48;3915,12;28;1252,68;Centro-Oeste;sim
39;4480,85;22;1975,82;Centro-Oeste;sim
35;3972,67;0;2547,74;Sudeste;nao
41;2059,52;6;1685,82;Nordeste;nao
59;4842,93;9;3117,17;Norte;sim
48;4181,34;25;2172,8;Centro-Oeste;sim
30;5026,84;17;2315,18;Sudeste;nao
33;5983,57;21;4324,31;Nordeste;nao
30;6259,35;14;5522,18;Centro-Oeste;nao
42;5559,21;16;4902,39;Sul;nao
35;1200,0;22;660,73;Norte;nao
27;2921,85;29;477,47;Sul;sim
52;4951,35;0;1485,65;Sul;sim
55;6276,4;26;5453,06;Sul;nao
37;2932,59;15;268,93;Norte;sim
25;3377,19;19;910,94;Sudeste;sim
40;7911,31;1;4964,47;Centro-Oeste;nao
34;1200,0;28;639,93;Sudeste;nao
39;4187,14;27;1376,9;Sudeste;sim
31;3568,65;10;1588,09;Sul;nao
22;4047,11;16;2146,18;Centro-Oeste;nao
27;4138,32;4;3604,18;Centro-Oeste;nao
62;5951,88;8;2715,88;Sul;sim
47;6515,9;14;871,77;Sudeste;sim
47;10361,54;11;2500,28;Sudeste;sim
30;8037,53;10;6153,04;Centro-Oeste;nao
54;4696,97;23;3915,04;Norte;sim
57;5263,44;8;1110,32;Centro-Oeste;sim
66;6710,67;13;514,52;Norte;sim
34;9637,63;15;8154,33;Nordeste;nao
21;4481,63;18;557,33;Centro-Oeste;sim
68;5542,5;10;2255,3;Sudeste;sim
64;4489,78;16;2040,34;Norte;sim
48;6970,29;7;5967,6;Nordeste;nao
69;2360,76;7;1509,9;Norte;sim
25;5083,15;28;3251,7;Centro-Oeste;sim
48;2422,68;12;2081,63;Sul;nao
51;5317,67;6;2389,7;Norte;nao
31;6270,2;3;2799,98;Sudeste;nao
31;4098,99;27;1785,05;Centro-Oeste;sim
47;4401,98;15;3091,47;Sudeste;nao
39;6877,43;7;5703,39;Sudeste;nao
46;4630,29;2;2419,63;Nordeste;nao
31;5842,1;16;3634,62;Nordeste;nao
42;4388,83;0;2276,08;Centro-Oeste;nao
34;3138,64;16;996,05;Sudeste;sim
47;4070,44;6;2430,06;Sudeste;nao
