area_m2,quartos,vagas_garagem,idade_anos,bairro,preco
200.7,5,0,20,Industrial,669765.68
196.3,4,1,8,Industrial,646017.86
71.8,3,3,9,Praia,515178.26
40.6,2,1,9,Centro,205122.04
165.0,1,3,2,Serra,661388.39
319.6,3,0,32,Industrial,956000.6
91.6,5,2,36,Serra,447067.48
111.0,2,0,5,Praia,645260.22
241.0,2,0,12,Industrial,733446.16
292.5,1,3,1,Industrial,950057.53
237.1,5,2,20,Praia,1409522.11
273.1,4,2,2,Industrial,879881.51
267.1,4,0,38,Serra,1028787.71
279.1,2,2,17,Industrial,898017.87
188.4,5,2,17,Serra,831254.61
168.9,5,0,29,Industrial,566794.53
145.8,2,2,30,Serra,582305.37
218.9,1,0,1,Centro,988574.1
191.1,2,0,39,Industrial,525677.23
80.1,2,1,16,Centro,379069.11
220.6,4,2,15,Centro,1051737.36
146.1,5,0,33,Praia,838206.58
56.4,2,2,28,Praia,325518.08
184.8,1,3,16,Serra,722904.78
124.4,4,0,37,Serra,493329.87
91.0,5,1,7,Praia,643280.37
232.1,4,0,8,Industrial,737527.25
110.5,1,0,28,Industrial,278184.44
180.7,4,1,25,Centro,823831.64
319.0,3,1,22,Centro,1386637.03
77.2,5,1,5,Industrial,335042.75
115.1,5,2,36,Centro,577958.11
92.3,5,0,35,Serra,400995.34
57.2,2,1,38,Centro,223017.04
78.6,3,0,32,Praia,445927.54
231.4,1,3,1,Industrial,748186.9
198.2,5,0,5,Industrial,679887.11
237.6,3,0,30,Praia,1288764.92
183.5,3,2,37,Industrial,641038.34
109.2,2,2,6,Serra,429897.26
115.3,3,2,22,Serra,473011.62
272.2,5,2,20,Industrial,912253.28
307.9,2,3,5,Industrial,982771.38
95.4,5,1,6,Industrial,391142.35
85.0,3,1,15,Industrial,282136.26
82.1,2,3,27,Industrial,265701.69
129.6,3,2,2,Industrial,491476.48
90.1,5,3,37,Serra,443736.76
294.1,3,0,19,Praia,1592712.0
182.7,1,1,12,Industrial,575340.77
88.9,3,3,35,Centro,445216.4
183.1,2,0,11,Centro,845243.81
231.6,3,1,3,Praia,1322647.6
62.1,2,0,18,Industrial,177839.34
320.0,5,0,2,Praia,1866261.66
162.5,3,1,0,Praia,968954.8
176.4,5,1,3,Serra,769973.76
250.8,1,0,38,Praia,1238142.02
208.2,2,1,5,Praia,1185041.71
150.6,2,1,32,Praia,788869.55
235.1,3,1,9,Serra,956740.78
211.0,5,0,17,Industrial,715216.13
273.3,4,1,9,Praia,1612120.83
134.1,3,3,21,Serra,582129.58
302.9,5,1,18,Praia,1753022.28
197.1,5,1,6,Centro,1002612.12
301.7,4,1,39,Serra,1151968.36
137.2,2,1,16,Industrial,446401.29
270.2,3,0,38,Serra,1029546.07
281.6,3,2,30,Centro,1291791.45
45.3,4,3,10,Centro,331097.26
186.8,3,0,20,Serra,754315.78
111.1,5,1,33,Centro,565974.4
78.6,5,2,21,Praia,592722.27
35.2,2,1,31,Centro,196514.92
65.8,3,3,29,Praia,450557.07
271.6,4,1,3,Serra,1121075.13
292.5,1,0,34,Centro,1221440.25
100.6,4,2,26,Serra,496261.24
274.3,1,1,20,Serra,1035816.39
78.1,5,2,37,Centro,404007.81
228.1,3,2,1,Industrial,769822.12
303.8,2,1,22,Centro,1346591.46
318.9,5,3,34,Praia,1824372.06
306.9,5,0,35,Centro,1400246.2
248.1,3,0,28,Industrial,779922.71
133.4,4,1,8,Praia,830627.28
98.6,5,3,18,Industrial,443462.66
78.2,4,3,31,Praia,533054.51
67.0,3,0,33,Serra,273088.29
56.4,3,0,23,Industrial,219289.59
254.5,1,2,35,Serra,1000483.67
